        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)        Pcore(5)        Pcore(6)        Pcore(7)        Pcore(8)
     1.4942529     2.9885057     4.4827586     5.9770115     5.9770115     4.4827586     2.9885057     1.4942529
        Vcore(1)        Vcore(2)        Vcore(3)        Vcore(4)        Vcore(5)        Vcore(6)        Vcore(7)        Vcore(8)
             0             0             0             0             0             0             0             0
     14.475038     14.549751     14.624463     14.699176     14.699176     14.624463     14.549751     14.475038
     14.496091     14.570803     14.645516     14.720229     14.720229     14.645516     14.570803     14.496091
        14.517     14.591712     14.666425     14.741138     14.741138     14.666425     14.591712        14.517
     14.537766     14.612479     14.687191     14.761904     14.761904     14.687191     14.612479     14.537766
     14.558391     14.633103     14.707816     14.782529     14.782529     14.707816     14.633103     14.558391
     14.578875     14.653587       14.7283     14.803012     14.803012       14.7283     14.653587     14.578875
     14.599219     14.673931     14.748644     14.823357     14.823357     14.748644     14.673931     14.599219
     14.619424     14.694137     14.768849     14.843562     14.843562     14.768849     14.694137     14.619424
     14.639491     14.714204     14.788917     14.863629     14.863629     14.788917     14.714204     14.639491
     14.659422     14.734135     14.808847      14.88356      14.88356     14.808847     14.734135     14.659422
     14.679216     14.753929     14.828642     14.903354     14.903354     14.828642     14.753929     14.679216
     14.698876     14.773589     14.848301     14.923014     14.923014     14.848301     14.773589     14.698876
     14.718401     14.793114     14.867827     14.942539     14.942539     14.867827     14.793114     14.718401
     14.737793     14.812506     14.887219     14.961931     14.961931     14.887219     14.812506     14.737793
     14.757053     14.831766     14.906478     14.981191     14.981191     14.906478     14.831766     14.757053
     14.776182     14.850894     14.925607     15.000319     15.000319     14.925607     14.850894     14.776182
     14.795179     14.869892     14.944605     15.019317     15.019317     14.944605     14.869892     14.795179
     14.814048      14.88876     14.963473     15.038186     15.038186     14.963473      14.88876     14.814048
     14.832787       14.9075     14.982212     15.056925     15.056925     14.982212       14.9075     14.832787
     14.851399     14.926111     15.000824     15.075537     15.075537     15.000824     14.926111     14.851399
     14.869883     14.944596     15.019309     15.094021     15.094021     15.019309     14.944596     14.869883
     14.888242     14.962955     15.037667      15.11238      15.11238     15.037667     14.962955     14.888242
     14.906475     14.981188       15.0559     15.130613     15.130613       15.0559     14.981188     14.906475
     14.924584     14.999297     15.074009     15.148722     15.148722     15.074009     14.999297     14.924584
     14.942569     15.017282     15.091994     15.166707     15.166707     15.091994     15.017282     14.942569
     14.960432     15.035144     15.109857      15.18457      15.18457     15.109857     15.035144     14.960432
     14.978172     15.052885     15.127598      15.20231      15.20231     15.127598     15.052885     14.978172
